FID,id,toilet_lokalitet,vejnavn,hus_nr,post_nr,adresse,toilet_betegnelse,handicapadgang,helaarsaabent,aftenlaasning,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,doegnaabent,bemaerkning,utm_x,utm_y,longitude,latitude,data_opdatering,status,wkb_geometry
toilet_tmf_kk.1,150,Nyhavn,Nyhavn,1F,1051,"Nyhavn 1F, 1051 København K",Toilet med personale,Nej,Ja,Personale låser,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,Nej,Info om jul/nytår offentliggøres medio december hvert år.,725549.01293957,6176364.57445057,12.587758,55.680573,3.kvartal 2019,aktiv,MULTIPOINT ((12.587758447732242 55.680572606029195))
toilet_tmf_kk.2,151,Nyhavn ,Nyhavn,28,1051,"Nyhavn 28, 1051 København K",Pissoir,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når frosten kommer,725758.73478924,6176261.27145096,12.591002,55.679549,3.kvartal 2019,aktiv,MULTIPOINT ((12.591002119592353 55.679548770837904))
toilet_tmf_kk.3,152,Nyhavn,Nyhavn,47C,1051,"Nyhavn 47C, 1051 København K",Pissoir,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når frosten kommer,725771.10354904,6176291.33297555,12.591223,55.679813,3.kvartal 2019,aktiv,MULTIPOINT ((12.591223159241357 55.67981260610127))
toilet_tmf_kk.4,153,Havnegade,Havnegade,20,1058,"Havnegade 20, 1058 København K",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,725617.78770049,6175896.28476682,12.588465,55.676341,3.kvartal 2019,aktiv,MULTIPOINT ((12.588465065842694 55.676341140845196))
toilet_tmf_kk.5,154,Ved Stranden ,Ved Stranden,18A,1061,"Ved Stranden 18A, 1061 København K",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,725135.71383939,6176009.06883439,12.580907,55.677576,3.kvartal 2019,aktiv,MULTIPOINT ((12.580906970308178 55.67757624015171))
toilet_tmf_kk.6,155,Nikolaj Plads ,Nikolaj Plads,10b,1067,"Nikolaj Plads 10b, 1067 København K",Pissoir,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når frosten kommer,725187.1666263,6176170.95102126,12.581856,55.679004,3.kvartal 2019,aktiv,MULTIPOINT ((12.581856383101117 55.679004125267966))
toilet_tmf_kk.7,156,Grå Brødre Torv,Kejsergade 6,6,1155,"Kejsergade 6 6, 1155 København K",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,724779.02509514,6176259.09574978,12.575451,55.679984,3.kvartal 2019,aktiv,MULTIPOINT ((12.575450815033388 55.67998365257922))
toilet_tmf_kk.8,157,Amagertorv ,Amagertorv,1F,1160,"Amagertorv 1F, 1160 København K",Toilet med personale,Nej,Ja,Personale låser,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,Nej,Info om jul/nytår offentliggøres medio december hvert år.,725043.61115731,6176143.62235465,12.579556,55.678826,3.kvartal 2019,aktiv,MULTIPOINT ((12.579555561066043 55.67882557964826))
toilet_tmf_kk.9,158,Vor frue plads,Dyrkøb,2,1166,"Dyrkøb 2, 1166 København K",Toilet,Nej,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,724662.33246142,6176177.54915372,12.573532,55.679306,3.kvartal 2019,aktiv,MULTIPOINT ((12.57353193465131 55.6793063396043))
toilet_tmf_kk.10,159,Kultorvet ,Kultorvet,9B,1175,"Kultorvet 9B, 1175 København K",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,724675.74500591,6176512.41419977,12.574019,55.682303,3.kvartal 2019,aktiv,MULTIPOINT ((12.574018982480842 55.68230318094182))
toilet_tmf_kk.11,160,"Christiansborg Slotsplads, Holmens Bro",Christiansborg Slotsplads,2,1218,"Christiansborg Slotsplads 2, 1218 København K",Toilet,Nej,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,725219.61070231,6175905.72681846,12.582154,55.676611,3.kvartal 2019,aktiv,MULTIPOINT ((12.582153675700967 55.67661059155172))
toilet_tmf_kk.12,161,Borgergade ,Borgergade,1F,1300,"Borgergade 1F, 1300 København K",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,725285.94231753,6176521.12219852,12.583712,55.682099,3.kvartal 2019,aktiv,MULTIPOINT ((12.583711551841619 55.68209859729619))
toilet_tmf_kk.13,162,"Nyboder, Gammel Vagt",Olfert fischers gade ,40,1311,"Olfert fischers gade  40, 1311 København K",Toilet,Nej,Ja,Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,0,725369.90831384,6177140.51444103,12.585553,55.687614,3.kvartal 2019,aktiv,MULTIPOINT ((12.585553120956142 55.68761423178274))
toilet_tmf_kk.14,163,Nørreport station,Nørre Voldgade,15B,1358,"Nørre Voldgade 15B, 1358 København K",Toilet med personale og handicapadgang,Ja,Ja,Personale låser,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,Nej,Info om jul/nytår offentliggøres medio december hvert år.,724504.76560405,6176586.79422861,12.571366,55.683049,3.kvartal 2019,aktiv,MULTIPOINT ((12.571365922935339 55.68304928708252))
toilet_tmf_kk.15,164,Nørreport station,Nørre Voldgade,15B,1358,"Nørre Voldgade 15B, 1358 København K",Pissoir,Nej,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,724500.14697298,6176585.22497276,12.571291,55.683037,3.kvartal 2019,aktiv,MULTIPOINT ((12.571291326969368 55.683037349192986))
toilet_tmf_kk.16,165,Israels Plads,Frederiksborggade,21,1360,"Frederiksborggade 21, 1360 København K",Toilet med personale,Nej,Ja,Personale låser,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,08.00 - 22.00,Nej,Info om jul/nytår offentliggøres medio december hvert år.,724378.55929445,6176719.04293485,12.569471,55.684294,3.kvartal 2019,aktiv,MULTIPOINT ((12.56947078985676 55.684293616499765))
